"Department","Position","Name","Firstname","Lastname","coursename"
"Epidemiology","Professor","Powe, Neil R.","Neil R.","Powe",NA
"Population, Family and Reproductive Health","Associate Professor","Powell, Terrinieka Williams","Terrinieka Williams","Powell","380.640.01 Children in Crisis: An Asset-Based Approach to Working With Vulnerable Youth, 380.822.01 PFRH First Year Doctoral Seminar, 380.725.01 The Social Context of Adolescent Health and Development, 380.822.01 PFRH First Year Doctoral Seminar"
"Molecular Microbiology and Immunology","Professor","Prigge, Sean T.","Sean T.","Prigge",NA
"Health Policy and Management","Professor","Pronovost, Peter J.","Peter J.","Pronovost","309.730.81 Patient Safety and Medical Errors, 603.711.86 Science of Patient Safety"
"Epidemiology","Assistant Professor","Pugh, Elizabeth W.","Elizabeth W.","Pugh",NA
"Epidemiology","Professor","Puhan, Milo Alan","Milo Alan","Puhan",NA
"Epidemiology","Professor","Pulver, Ann E.","Ann E.","Pulver",NA
"Epidemiology","Professor","Punjabi, Naresh M.","Naresh M.","Punjabi","390.721.01 Principles of Grant Writing I, 390.703.01 Presentation Skills, 390.722.01 Principles of Grant Writing II, 390.677.01 Database Design and Implementation in Clinical Research"
"Epidemiology","Assistant Professor","Purnell, Tanjala S.","Tanjala S.","Purnell","410.635.81 Applications of Innovative Methods in Health Equity Research, 410.635.11 Applications of Innovative Methods in Health Equity Research"
"Molecular Microbiology and Immunology","Professor","Quinn, Thomas","Thomas","Quinn",NA
"Population, Family and Reproductive Health","Senior Scientist","Radloff, Scott R.","Scott R.","Radloff","380.665.01 Family Planning Policies and Programs"
"International Health","Assistant Scientist","Rahman, M. Hafizur","M. Hafizur","Rahman","221.711.11 Managing District Health Systems in Low and Middle Income Countries"
"International Health","Associate Scientist","Ram, Malathi","Malathi","Ram",NA
"Environmental Health and Engineering","Professor","Ramachandran, Gurumurthy","Gurumurthy","Ramachandran",NA
"Epidemiology","Associate Professor","Ramulu, Pradeep Y.","Pradeep Y.","Ramulu","340.699.01 Epidemiology of Sensory Loss in Aging"
"Health, Behavior and Society","Professor","Rand, Cynthia S.","Cynthia S.","Rand",NA
"International Health","Assistant Professor","Rao, Krishna Dipankar","Krishna Dipankar","Rao","313.645.01 Health Economics III, 221.860.01 Health Systems Program Seminar, 221.860.01 Health Systems Program Seminar, 221.652.01 Health Financing in Low and Middle Income Countries, 221.860.01 Health Systems Program Seminar, 221.860.01 Health Systems Program Seminar"
"Health, Behavior and Society","Assistant Professor","Rath, Jessica M.","Jessica M.","Rath",NA
"Epidemiology","Assistant Professor","Ray, Debashree","Debashree","Ray",NA
"International Health","Professor","Razzak, Junaid A.","Junaid A.","Razzak",NA
"Epidemiology","Assistant Professor","Rebholz, Casey M.","Casey M.","Rebholz","340.607.01 Introduction to Cardiovascular Disease Epidemiology"
"Mental Health","Professor","Rebok, George W.","George W.","Rebok","330.802.01 Seminar On Aging, Cognition and Neurodegenerative Disorders, 330.802.01 Seminar On Aging, Cognition and Neurodegenerative Disorders, 330.661.01 Social, Psychological, and Developmental Processes in the Etiology of Mental Disorders, 330.802.01 Seminar On Aging, Cognition and Neurodegenerative Disorders, 330.802.01 Seminar On Aging, Cognition and Neurodegenerative Disorders, 330.673.89 Prevention Research in Mental Health"
"Population, Family and Reproductive Health","Associate Professor","Reeves, Matthew F.","Matthew F.","Reeves",NA
"Biostatistics","Professor","Reich, Daniel S.","Daniel S.","Reich",NA
"Health Policy and Management","Associate Scientist","Reider, Lisa M.","Lisa M.","Reider",NA
"International Health","Associate Scientist","Requejo, Jennifer Harris","Jennifer Harris","Requejo",NA
"Health Policy and Management","Associate Scientist","Resnick, Beth A.","Beth A.","Resnick","308.810.01 Field Placement Health Policy-MSPH, 308.867.01 MSPH Seminar in Health Policy, 318.810.01 Field Placement MPP, 300.603.98 The Tools of Public Health Practice and Decision Making, 305.607.01 Public Health Practice, 308.810.01 Field Placement Health Policy-MSPH, 308.851.01 PHASE Internship, 308.867.01 MSPH Seminar in Health Policy, 318.810.01 Field Placement MPP, 318.867.01 MPP Graduate Policy Seminar, 300.615.81 The Tools of Public Health Practice, 300.750.01 Educational Leadership, 300.750.81 Teaching, Learning and Leading – in the Classroom, in the Workplace and in the Community, 308.810.01 Field Placement Health Policy-MSPH, 308.851.01 PHASE Internship, 308.867.01 MSPH Seminar in Health Policy, 318.867.01 MPP Graduate Policy Seminar, 305.607.81 Public Health Practice, 308.810.01 Field Placement Health Policy-MSPH, 308.851.01 PHASE Internship, 308.867.01 MSPH Seminar in Health Policy, 300.615.81 The Tools of Public Health Practice, 308.604.11 Effective Writing for Public Health Change, 305.605.51 Public Health Policy: the Intersection of Science and Politics"
"Epidemiology","Associate Professor","Reynolds, Steven J.","Steven J.","Reynolds",NA
"Health, Behavior and Society","Assistant Professor","Richardson, Amanda","Amanda","Richardson",NA
"Health Policy and Management","Professor","Richardson, William C.","William C.","Richardson",NA
"Population, Family and Reproductive Health","Professor","Riley, Anne W.","Anne W.","Riley","380.742.01 Family Health, Public Health and Policy"
"Health, Behavior and Society","Professor","Rimal, Rajiv N.","Rajiv N.","Rimal",NA
"Population, Family and Reproductive Health","Senior Scientist","Rimon, Jose G.","Jose G.","Rimon",NA
"Environmental Health and Engineering","Professor","Risby, Terence","Terence","Risby",NA
"Environmental Health and Engineering","Assistant Professor","Rivers, Caitlin M.","Caitlin M.","Rivers",NA
"International Health","Assistant Scientist","Roberton, Timothy James","Timothy James","Roberton","221.645.01 Large-Scale Effectiveness Evaluations of Health Programs, 221.608.01 Managing Non-Governmental Organizations in the Health Sector"
"Epidemiology","Associate Professor","Robinson, Karen A.","Karen A.","Robinson",NA
"International Health","Associate Professor","Robinson, W. Courtland","W. Courtland","Robinson","221.695.01 Seminar in Humanitarian Health, 221.641.01 Measurement Methods in Humanitarian Emergencies, 221.695.01 Seminar in Humanitarian Health, 221.861.01 Doctoral Seminar in Health Systems, 221.861.01 Doctoral Seminar in Health Systems, 380.615.01 Application of Population Data for Policy and Practice, 380.750.01 Migration and Health: Concepts, Rates, and Relationships"
"Health Policy and Management","Professor","Roderer, Nancy","Nancy","Roderer",NA
"Health Policy and Management","Professor","Rodricks, Joseph V.","Joseph V.","Rodricks",NA
"International Health","Assistant Scientist","Rodriguez, Daniela C.","Daniela C.","Rodriguez","221.650.01 Health Policy Analysis in Low and Middle Income Countries"
"Health, Behavior and Society","Associate Scientist","Roemer, Enid Chung","Enid Chung","Roemer","410.602.11 Evaluation of Workplace Health Promotion Programs"
"Biostatistics","Professor","Rohde, Charles","Charles","Rohde","140.646.01 Essentials of Probability and Statistical Inference I: Probability, 140.647.01 Essentials of Probability and Statistical Inference II: Statistical Inference"
"Mental Health","Associate Professor","Romanoski, Alan J.","Alan J.","Romanoski",NA
"Epidemiology","Professor","Rompalo, Anne Marie","Anne Marie","Rompalo","380.761.81 Sexually Transmitted Infections in Public Health Practice"
"Molecular Microbiology and Immunology","Professor","Rose, Noel","Noel","Rose",NA
"Health Policy and Management","Assistant Professor","Rosen, Michael A.","Michael A.","Rosen",NA
"Biostatistics","Associate Professor","Rosenblum, Michael A.","Michael A.","Rosenblum","140.721.01 Probability Theory I, 140.734.01 Statistical Theory IV, 140.689.11 Adaptive Enrichment Designs for Confirmatory Randomized Trials: Methods and Software"
"International Health","Assistant Scientist","Rosenstock, Summer","Summer","Rosenstock",NA
"Epidemiology","Assistant Professor","Rositch, Anne  Fortino","Anne  Fortino","Rositch","340.724.11 Global Cancer Epidemiology"
"Biostatistics","Professor","Rosner, Gary L.","Gary L.","Rosner",NA
"Health, Behavior and Society","Professor","Roter, Debra","Debra","Roter","415.881.01 Genetic Counseling Program Thesis Proposal Development II, 415.882.01 Genetic Counseling Program Thesis Proposal Development III, 410.651.01 Health Literacy: Challenges and Strategies for Effective Communication, 410.652.01 Interpersonal Influence in Medical Care, 415.880.01 Genetic Counseling Program Thesis Proposal Development I"
"Epidemiology","Professor","Roth, David L","David L","Roth",NA
"Epidemiology","Professor","Rothman, Nathaniel","Nathaniel","Rothman",NA
"Health Policy and Management","Professor","Rowland, Diane","Diane","Rowland",NA
"Epidemiology","Senior Scientist","Rubenstein, Leonard S.","Leonard S.","Rubenstein","700.622.01 Bioethics, Human Rights, and Global Health, 340.683.01 Human Rights in Public Health Practice, 340.692.01 Prisons, Public Health, and Human Rights"
"Biostatistics","Professor","Ruczinski, Ingo","Ingo","Ruczinski","140.615.01 Statistics for Laboratory Scientists I, 140.616.01 Statistics for Laboratory Scientists II"
"International Health","Associate Professor","Ruff, Andrea","Andrea","Ruff","220.601.01 Foundations of International Health, 223.663.01 Infectious Diseases and Child Survival"
"Environmental Health and Engineering","Assistant Scientist","Rule, Ana María","Ana María","Rule","182.622.81 Ventilation Controls, 182.614.01 Industrial Hygiene Laboratory, 182.622.01 Ventilation Controls, 182.614.11 Industrial Hygiene Laboratory"
"Health Policy and Management","Associate Professor","Rutkow, Lainie","Lainie","Rutkow","301.861.01 Graduate Seminar in Health and Public Policy, 301.861.01 Graduate Seminar in Health and Public Policy, 301.861.01 Graduate Seminar in Health and Public Policy, 306.650.01 Public Health and the Law, 301.861.01 Graduate Seminar in Health and Public Policy, 306.662.01 Public Health Agencies: Law, Policy and Practice"
"Health, Behavior and Society","Assistant Professor","Ryan, Leticia Manning","Leticia Manning","Ryan",NA
"International Health","Professor","Sack, David","David","Sack","223.682.60 Clinical and Epidemiologic Aspects of Tropical Diseases, 223.682.81 Clinical and Epidemiologic Aspects of Tropical Diseases"
"Health, Behavior and Society","Assistant Professor","Safeer, Richard S.","Richard S.","Safeer",NA
"Health Policy and Management","Professor","Salamon, Lester M.","Lester M.","Salamon","318.607.01 The Tools of Government"
"Population, Family and Reproductive Health","Assistant Scientist","Salas, Ian","Ian","Salas",NA
"Epidemiology","Assistant Scientist","Saldanha, Ian J.","Ian J.","Saldanha","340.686.11 Introduction to Systematic Reviews and Meta-Analysis"
"International Health","Assistant Professor","Saleem, Haneefa Tasleem","Haneefa Tasleem","Saleem","224.697.01 Qualitative Research Practicum I: Partnerships and Protocol Development"
"Epidemiology","Assistant Professor","Salje, Henrik","Henrik","Salje",NA
"Health Policy and Management","Professor","Salkever, David","David","Salkever",NA
"International Health","Professor","Salmon, Daniel","Daniel","Salmon","223.687.01 Vaccine Policy Issues, 223.630.81 The Practice of Public Health Through Vaccine Case Studies: Problem Solving Seminar"
"Health Policy and Management","Assistant Professor","Saloner, Brendan","Brendan","Saloner","300.721.01 Foundations in Health Policy I, 300.722.01 Foundations in Health Policy II, 300.723.01 Foundations in Health Policy III"
"Biostatistics","Professor","Salzberg, Steven L.","Steven L.","Salzberg",NA
"Epidemiology","Professor","Samet, Jonathan M.","Jonathan M.","Samet","340.636.11 Epidemiology in Evidence-Based Policy, 340.725.11 Methods for Clinical and Translational Research"
"International Health","Professor","Santosham, Mathuram","Mathuram","Santosham",NA
"Health, Behavior and Society","Assistant Professor","Sapp, Julie C.","Julie C.","Sapp",NA
"Health Policy and Management","Assistant Professor","Saria, Suchi","Suchi","Saria",NA
"Health, Behavior and Society","Professor","Savage, Christine L.","Christine L.","Savage",NA
"Mental Health","Professor","Sawa, Akira","Akira","Sawa",NA
"Mental Health","Professor","Saxena, Shekhar","Shekhar","Saxena",NA
"Biostatistics","Professor","Scharfstein, Daniel O.","Daniel O.","Scharfstein","140.771.01 Advanced Statistical Theory I, 140.648.01 Essentials of Probability and Statistical Inference III: Theory of Modern Statistical Methods, 140.649.01 Essentials of Probability and Statistical Inference IV"
"Biostatistics","Assistant Professor","Scharpf, Robert","Robert","Scharpf",NA
"Epidemiology","Professor","Schein, Oliver","Oliver","Schein",NA
"Mental Health","Professor","Schendel, Diana E.","Diana E.","Schendel",NA
"Epidemiology","Senior Scientist","Scherer, Roberta W.","Roberta W.","Scherer","340.648.01 Clinical Trials Management, 340.671.11 Topics in Management of Clinical Trials"
"Epidemiology","Assistant Professor","Schneider, Eric B.","Eric B.","Schneider",NA
"Environmental Health and Engineering","Visiting Associate Professor","Schoch-Spana, Monica","Monica","Schoch-Spana",NA
"Health Policy and Management","Professor","Schoenrich, Edyth","Edyth","Schoenrich","300.862.81 Current Issues in Public Health, 550.862.81 Current Issues in Public Health, 550.862.81 Current Issues in Public Health, 550.862.81 Current Issues in Public Health"
"Health Policy and Management","Assistant Professor","Scholl, Anna","Anna","Scholl",NA
"Epidemiology","Assistant Professor","Schrack, Jennifer A.","Jennifer A.","Schrack","340.616.01 Epidemiology of Aging, 340.695.11 Physical Activity and Public Health: Monitors, Measures, and Methods"
"International Health","Assistant Scientist","Schuh, Holly B.","Holly B.","Schuh",NA
"International Health","Associate Scientist","Schulze, Kerry Jean","Kerry Jean","Schulze","222.642.01 Assessment of Nutritional Status"
"Environmental Health and Engineering","Professor","Schwab, Kellogg J.","Kellogg J.","Schwab","182.626.01 Issues for Water and Sanitation in Tropical Environmental Health, 182.640.01 Food and Water Borne Diseases, 182.638.01 Environmental and Health Concerns in Water Use and Reuse"
"Environmental Health and Engineering","Professor","Schwartz, Brian","Brian","Schwartz","180.611.01 The Global Environment, Climate Change, and Public Health, 188.686.01 Clinical Environmental and Occupational Toxicology, 180.601.01 Environmental Health, 550.870.01 SS/R: Occupational Medicine Residency-Practicum Year, 550.870.01 SS/R: Occupational Medicine Residency-Practicum Year, 550.870.01 SS/R: Occupational Medicine Residency-Practicum Year, 550.870.01 SS/R: Occupational Medicine Residency-Practicum Year, 550.870.01 SS/R: Occupational Medicine Residency-Practicum Year"
"Epidemiology","Assistant Scientist","Schwartz, Sheree R.","Sheree R.","Schwartz",NA
"Environmental Health and Engineering","Associate Professor","Scichilone, Nicola Alessandro","Nicola Alessandro","Scichilone",NA
"Molecular Microbiology and Immunology","Professor","Scott, Alan L.","Alan L.","Scott","260.611.01 Principles of Immunology I, 260.801.01 Topics in Immunology I, 260.612.01 Principles of Immunology II, 260.615.01 Critically Reviewing the Scientific Literature, 260.631.01 Immunology, Infection and Disease, 260.635.01 Biology of Parasitism, 260.708.60 Evidence-Based Teaching in the Biomedical and Health Sciences – Practice, 260.802.01 Topics in Immunology II, 260.854.01 Current Literature in Microbial Immunity, 550.603.81 Fundamentals of Immunology"
"Epidemiology","Assistant Professor","Seaberg, Eric","Eric","Seaberg",NA
"Molecular Microbiology and Immunology","Professor","Sears, Cynthia Louise","Cynthia Louise","Sears",NA
"Health Policy and Management","Professor","Segal, Jodi Beth","Jodi Beth","Segal","340.682.81 Pharmacoepidemiology Methods, 340.617.11 Pharmacoepidemiology, 312.693.81 Introduction to Comparative Effectiveness and Outcomes Research, 312.693.01 Introduction to Comparative Effectiveness and Outcomes Research"
"Environmental Health and Engineering","Assistant Professor","Segars, William P.","William P.","Segars",NA
"Epidemiology","Professor","Segev, Dorry L.","Dorry L.","Segev","340.600.01 Stata Programming, 340.700.01 Advanced Stata Programming, 340.600.11 Stata Programming"
"Health Policy and Management","Associate Professor","Segui-Gomez, Maria","Maria","Segui-Gomez",NA
"Environmental Health and Engineering","Assistant Professor","Sell, Tara Kirk","Tara Kirk","Sell",NA
"International Health","Associate Professor","Sellmeyer, Deborah","Deborah","Sellmeyer",NA
"Epidemiology","Professor","Selvin, Elizabeth","Elizabeth","Selvin","340.853.01 First Year Epidemiology Doctoral Seminar, 340.871.01 Welch Center Research Seminar, 340.871.01 Welch Center Research Seminar, 340.871.01 Welch Center Research Seminar, 340.871.01 Welch Center Research Seminar"
"International Health","Professor","Semba, Richard","Richard","Semba",NA
"Health Policy and Management","Assistant Professor","Sen, Aditi P.","Aditi P.","Sen",NA
"Mental Health","Assistant Professor","Seymour, Karen E.","Karen E.","Seymour",NA
"Epidemiology","Associate Scientist","Shade, David M.","David M.","Shade","340.633.01 Data Management in Clinical Trials, 340.613.11 Design and Conduct of Clinical Trials"
"Epidemiology","Associate Professor","Shafi, Tariq","Tariq","Shafi",NA
"Environmental Health and Engineering","Associate Professor","Sham, James S. K.","James S. K.","Sham",NA
"Environmental Health and Engineering","Associate Scientist","Shankar, Anita Vernekar","Anita Vernekar","Shankar",NA
"Molecular Microbiology and Immunology","Professor","Shapiro, Theresa A. B.","Theresa A. B.","Shapiro",NA
"Health Policy and Management","Professor of the Practice","Sharfstein, Joshua M.","Joshua M.","Sharfstein","308.615.81 The Opioid Crisis: Problem Solving Seminar, 300.650.01 Crisis and Response in Public Health Policy and Practice, 302.675.98 Crisis Response in Public Health Practice: International Perspectives, 223.630.81 The Practice of Public Health Through Vaccine Case Studies: Problem Solving Seminar"
"Epidemiology","Professor","Sharrett, Richey","Richey","Sharrett","340.853.01 First Year Epidemiology Doctoral Seminar, 340.803.01 Advanced Topics in Cardiovascular Disease Epidemiology"
"Molecular Microbiology and Immunology","Assistant Scientist","Shaw-Saliba, Katy","Katy","Shaw-Saliba",NA
"Health Policy and Management","Professor","Shen, Weixing","Weixing","Shen",NA
"Mental Health","Visiting Professor","Shepherd, Stephane M.","Stephane M.","Shepherd",NA
"Health, Behavior and Society","Professor","Sherman, Susan Gail","Susan Gail","Sherman","340.727.11 Introduction to Health Survey Research Methods, 410.600.01 Fundamentals of Health, Behavior and Society"
"International Health","Associate Scientist","Shet, Anita","Anita","Shet",NA
"Health Policy and Management","Professor","Shi, Leiyu","Leiyu","Shi","300.651.93 Introduction to the U.S. Healthcare System, 300.870.01 The Research and Proposal Writing Process I, 300.871.01 The Research and Proposal Writing Process II, 309.616.93 Introduction to Methods for Health Services Research and Evaluation I"
"Epidemiology","Associate Scientist","Shields, Timothy M.","Timothy M.","Shields","140.699.01 Spatial Analysis IV: Spatial Design and Application, 340.696.01 Spatial Analysis I: ArcGIS, 340.697.01 Spatial Analysis II: Spatial Data Technologies, 601.731.86 Spatial Analysis for Public Health, 601.732.86 Spatial Data Technologies for Mapping, 601.932.86 Spatial Analysis Lab 2, 601.733.86 Applied Spatial Statistics, 601.734.86 Spatial Applications, 601.931.86 Spatial Analysis Lab 1"
"Health Policy and Management","Associate Scientist","Shields, Wendy C.","Wendy C.","Shields","305.861.01 Graduate Seminar in Injury Research and Policy, 221.664.13 Prevention of Unintentional Injuries in American Indian Communities"
"Molecular Microbiology and Immunology","Professor","Shiff, Clive J.","Clive J.","Shiff","260.635.01 Biology of Parasitism, 260.656.81 Malariology, 260.656.01 Malariology"
"Biostatistics","Assistant Professor","Shinohara, Russell Takeshi","Russell Takeshi","Shinohara",NA
"Biostatistics","Assistant Professor","Shpitser, Ilya","Ilya","Shpitser",NA
"International Health","Professor","Siber, George","George","Siber",NA
"Environmental Health and Engineering","Associate Professor","Sidhaye, Venkataramana K.","Venkataramana K.","Sidhaye",NA
"Health, Behavior and Society","Professor","Sidransky, Ellen","Ellen","Sidransky",NA
"Environmental Health and Engineering","Professor","Silbergeld, Ellen","Ellen","Silbergeld","180.662.01 Writing Scientific Papers II, 180.608.01 Public Health Responses to Environmental Incidents and Disasters, 180.631.01 Environmental and Occupational Health Policy Seminar, 180.661.01 Writing Scientific Papers I"
"Environmental Health and Engineering","Assistant Professor","Sillé, Fenna","Fenna","Sillé",NA
"Health, Behavior and Society","Professor","Silverman, Kenneth","Kenneth","Silverman",NA
"Environmental Health and Engineering","Assistant Scientist","Singh, Anju","Anju","Singh",NA
"Molecular Microbiology and Immunology","Professor","Sinnis, Photini","Photini","Sinnis",NA
"Epidemiology","Associate Professor","Skarupski, Kimberly A.","Kimberly A.","Skarupski",NA
"Health Policy and Management","Senior Scientist","Skinner, Elizabeth Ann","Elizabeth Ann","Skinner",NA
"Population, Family and Reproductive Health","Assistant Professor","Smith, Christopher L.","Christopher L.","Smith",NA
"Environmental Health and Engineering","Assistant Professor","Smith, Genee S.","Genee S.","Smith","185.801.01 Exposure Sciences & Environmental Epi Journal Club"
"Health, Behavior and Society","Professor","Smith, Katherine Clegg","Katherine Clegg","Smith","410.612.01 Sociological Perspectives On Health, 410.850.01 MHS Research Practicum in Health Behavior and Society, 410.710.01 Concepts in Qualitative Research for Social and Behavioral Sciences, 410.850.01 MHS Research Practicum in Health Behavior and Society, 410.882.01 MHS Seminar in Social Factors in Health II, 410.850.01 MHS Research Practicum in Health Behavior and Society, 410.850.01 MHS Research Practicum in Health Behavior and Society, 410.884.01 MHS Seminar in Social Factors in Health IV, 410.850.01 MHS Research Practicum in Health Behavior and Society, 410.671.11 Introduction to Qualitative Research Methods"
"Health Policy and Management","Professor","Snyder, Claire F.","Claire F.","Snyder",NA
"International Health","Professor of the Practice","So, Anthony D.","Anthony D.","So","221.630.81 Tackling the Intersectoral Challenge of Antimicrobial Resistance: Problem Solving Seminar, 221.710.11 Designing Transformative Innovation for Global Health, 223.684.11 Vector-Borne Diseases in the Tropics"
"Health Policy and Management","Assistant Scientist","Socal, Mariana P.","Mariana P.","Socal",NA
"Health, Behavior and Society","Associate Professor","Solomon, Barry","Barry","Solomon",NA
"Epidemiology","Associate Professor","Solomon, Sunil S.","Sunil S.","Solomon",NA
"Molecular Microbiology and Immunology","Professor","Soloski, Mark J.","Mark J.","Soloski",NA
"Epidemiology","Professor","Sommer, Alfred","Alfred","Sommer",NA
"Population, Family and Reproductive Health","Professor","Sonenstein, Freya","Freya","Sonenstein",NA
"International Health","Professor","Sorkin, Alan","Alan","Sorkin","221.619.01 Introduction to Microeconomics"
"Environmental Health and Engineering","Professor","Spannhake, Ernst","Ernst","Spannhake",NA
"Health Policy and Management","Associate Scientist","Spencer, Michelle","Michelle","Spencer",NA
"International Health","Professor of the Practice","Spiegel, Paul B.","Paul B.","Spiegel","221.613.01 Introduction to Humanitarian Emergencies, 221.695.01 Seminar in Humanitarian Health, 221.695.01 Seminar in Humanitarian Health"
"Mental Health","Associate Professor","Spira, Adam P.","Adam P.","Spira","330.617.01 Psychopathology for Public Health, 330.617.60 Psychopathology for Public Health, 330.617.81 Psychopathology for Public Health"
"Molecular Microbiology and Immunology","Assistant Professor","Srinivasan, Prakash","Prakash","Srinivasan",NA
"Environmental Health and Engineering","Assistant Professor","Stein, David H.","David H.","Stein","180.636.01 Human Rights and Health Seminar, 180.600.13 Special Topics in Health and Human Rights: Public Health Implications of Health As a Human Right"
"International Health","Professor","Steinhoff, Mark C.","Mark C.","Steinhoff",NA
"Health Policy and Management","Professor","Steinwachs, Donald","Donald","Steinwachs",NA
"Epidemiology","Associate Scientist","Sternberg, Alice","Alice","Sternberg",NA
"Epidemiology","Professor","Stewart, Walter","Walter","Stewart",NA
"Health, Behavior and Society","Associate Professor","Stillman, Frances","Frances","Stillman","410.641.67 Implementation and Evaluation for Tobacco Control, 410.643.67 Introduction to Qualitative Methods in Tobacco Control, 410.645.01 Applying the Social Ecological Model in Tobacco Control and Climate Change, 410.640.81 Global Tobacco Control, 600.601.86 Seminars in Public Health"
"Molecular Microbiology and Immunology","Assistant Professor","Stins, Monique F.","Monique F.","Stins","260.822.01 Seminars in Research in Molecular Microbiology and Immunology, 260.822.01 Seminars in Research in Molecular Microbiology and Immunology, 260.822.01 Seminars in Research in Molecular Microbiology and Immunology, 260.822.01 Seminars in Research in Molecular Microbiology and Immunology"
"Health, Behavior and Society","Associate Professor","Storey, Douglas","Douglas","Storey","410.654.01 Health Communication Programs I: Planning and Strategic Design, 410.655.01 Health Communication Programs II: Implementation and Evaluation"
"Mental Health","Professor","Storr, Carla","Carla","Storr",NA
"Mental Health","Professor","Strain, Eric C.","Eric C.","Strain",NA
"Epidemiology","Professor","Strathdee, Steffanie A.","Steffanie A.","Strathdee",NA
"Environmental Health and Engineering","Professor","Strickland, Paul","Paul","Strickland","180.640.01 Molecular Epidemiology and Biomarkers in Public Health, 550.631.81 Biological Basis of Public Health"
"Population, Family and Reproductive Health","Professor","Strobino, Donna","Donna","Strobino","380.755.81 Population Dynamics and Public Health, 380.768.81 Selected Topics in Women's Health and Women's Health Policy, 380.823.01 Research Seminar in Population, Family and Reproductive Health I, 380.600.81 Principles of Population Change, 380.662.01 Critiquing the Research Literature in Maternal, Neonatal, and Reproductive Health, 380.824.01 Research Seminar in Population, Family and Reproductive Health II, 380.661.01 Clinical Aspects of Maternal and Newborn Health, 380.664.01 Reproductive and Perinatal Epidemiology, 380.667.01 Women's Health Policy, 380.755.60 Population Dynamics and Public Health"
"Mental Health","Assistant Professor","Strutton, David R.","David R.","Strutton",NA
"Mental Health","Professor","Stuart, Elizabeth A.","Elizabeth A.","Stuart","140.664.01 Causal Inference in Medicine and Public Health I, 140.664.81 Causal Inference in Medicine and Public Health I, 140.665.01 Causal Inference in Medicine and Public Health II, 330.805.01 Seminar On Statistical Methods for Mental Health, 330.616.11 Missing Data Procedures for Psychosocial Research, 330.626.11 Estimating the Effects of Mental Health Interventions in Non-Experimental Settings, 330.626.89 Estimating the Effects of Mental Health Interventions in Non-Experimental Settings, 330.636.89 Methods for Handling Missing Data in Psychosocial Research"
"Health Policy and Management","Associate Professor","Subramaniam, Rathan","Rathan","Subramaniam",NA
"Health, Behavior and Society","Assistant Professor","Sufrin, Carolyn","Carolyn","Sufrin",NA
"Biostatistics","Associate Scientist","Sugar, Elizabeth","Elizabeth","Sugar","140.642.01 Design of Clinical Experiments, 340.613.11 Design and Conduct of Clinical Trials"
"Health Policy and Management","Professor","Sugarman, Jeremy","Jeremy","Sugarman","700.601.01 Foundations of Bioethics, 700.604.01 Methods in Bioethics"
"Molecular Microbiology and Immunology","Professor","Sullivan, David J.","David J.","Sullivan","223.684.11 Vector-Borne Diseases in the Tropics, 223.660.13 Tropical Medicine and Parasitology, 260.635.01 Biology of Parasitism, 260.656.81 Malariology, 260.656.01 Malariology, 550.630.81 Public Health Biology"
"Mental Health","Professor","Suomi, Stephen J.","Stephen J.","Suomi",NA
"International Health","Associate Professor","Surkan, Pamela J.","Pamela J.","Surkan","224.698.01 Qualitative Research Practicum II: Collecting Qualitative Data, 224.866.01 Social and Behavioral Interventions Doctoral Proposal Development Seminar, 224.699.01 Qualitative Research Practicum III: Analyzing and Writing Qualitative Findings"
"Epidemiology","Associate Scientist","Sutcliffe, Catherine Gayle","Catherine Gayle","Sutcliffe","340.751.01 Epidemiologic Methods 1"
"International Health","Professor","Sweat, Michael D.","Michael D.","Sweat",NA
"Epidemiology","Assistant Professor","Swenor, Bonnielin K. ","Bonnielin K. ","Swenor","340.640.01 Eye Disease: Epidemiology and Control"
"Health Policy and Management","Associate Professor","Szanton, Sarah","Sarah","Szanton",NA
"Epidemiology","Professor","Szklo, Moyses","Moyses","Szklo","340.853.01 First Year Epidemiology Doctoral Seminar, 340.602.11 Intermediate Epidemiology, 340.658.11 Critical Reading of Epidemiologic Literature"
"Epidemiology","Professor","Taha, Taha El Tahir","Taha El Tahir","Taha","340.653.01 Epidemiologic Inference in Outbreak Investigations, 340.693.11 Investigation of Outbreaks"
"International Health","Assistant Professor","Talaat, Kawsar R.","Kawsar R.","Talaat","223.663.01 Infectious Diseases and Child Survival, 223.682.60 Clinical and Epidemiologic Aspects of Tropical Diseases, 223.682.81 Clinical and Epidemiologic Aspects of Tropical Diseases"
"International Health","Professor","Talalay, Paul","Paul","Talalay",NA
"International Health","Associate Professor","Talegawkar, Sameera A.","Sameera A.","Talegawkar",NA
"Epidemiology","Assistant Professor","Tamma, Pranita","Pranita","Tamma",NA
"Health, Behavior and Society","Associate Scientist","Tamplin, Stephen A.","Stephen A.","Tamplin","410.642.67 Tobacco Control Leadership"
"Environmental Health and Engineering","Associate Professor","Tang, Winnie Wan-yee","Winnie Wan-yee","Tang","185.805.01 Toxicology, Physiology & Molecular Mechanisms Journal Club & Seminar, 185.805.01 Toxicology, Physiology & Molecular Mechanisms Journal Club & Seminar, 187.632.01 Molecular Toxicology, 185.805.01 Toxicology, Physiology & Molecular Mechanisms Journal Club & Seminar, 180.632.81 Introduction to Molecular Toxicology, 185.805.01 Toxicology, Physiology & Molecular Mechanisms Journal Club & Seminar"
